signup_date,last_purchase_date,monthly_spend,total_shipments,churn_label,customer_id_anonymous
2023-07-01,2025-01-01,,0.0,1.0,C00057
2023-08-15,2025-05-15,1100.0,45.0,0.0,C00058
2023-09-01,2025-01-06,3000.0,110.0,0.0,C00059
2023-10-10,2025-06-01,850.0,32.0,0.0,C00060
2023-11-20,2025-06-20,7000.0,200.0,0.0,C00061
2023-12-05,2025-05-06,,90.0,0.0,C00062
2024-01-15,2025-05-15,1200.0,40.0,0.0,C00063
2024-05-26,2025-05-26,5000.0,200.0,0.0,C00064
2024-02-10,2025-06-10,2500.0,80.0,0.0,C00065
2024-03-01,2025-01-06,6000.0,180.0,0.0,C00066
2024-04-12,2025-06-15,3200.0,115.0,0.0,C00067
2024-05-01,2025-01-05,450.0,15.0,0.0,C00068
2024-06-20,2025-06-01,1100.0,38.0,0.0,C00069
2024-07-15,2025-06-15,8000.0,250.0,0.0,C00070
2024-08-05,2025-06-12,1400.0,48.0,0.0,C00071
2024-09-10,2025-10-06,2800.0,95.0,0.0,C00072
2024-10-25,2025-06-20,9500.0,350.0,0.0,C00073
2024-11-12,2025-05-15,600.0,20.0,0.0,C00074
2024-12-01,2025-01-06,1500.0,55.0,0.0,C00075
2025-01-10,2025-10-06,3100.0,105.0,0.0,C00076
2025-02-15,2025-06-01,900.0,30.0,0.0,C00077
2025-03-20,2025-06-20,4500.0,160.0,0.0,C00078
2025-04-05,2025-06-15,,12.0,0.0,C00079
2025-05-01,,2200.0,75.0,0.0,C00080
2023-01-15,2023-12-30,100.0,2.0,1.0,C00081
2023-02-25,2025-05-20,800.0,30.0,0.0,C00082
2023-03-10,2025-10-05,950.0,35.0,0.0,C00083
2023-04-18,2025-06-01,1300.0,48.0,0.0,C00084
2023-05-30,2025-05-30,4200.0,140.0,0.0,C00085
2023-06-12,2025-01-15,300.0,8.0,1.0,C00086
2023-07-20,2024-12-31,50.0,1.0,1.0,C00087
2023-08-05,2025-03-20,,15.0,1.0,C00088
2023-09-12,2024-12-12,,2.0,1.0,C00089
2023-10-01,2025-06-05,3800.0,130.0,0.0,C00090
2023-11-10,2025-05-28,600.0,22.0,0.0,C00091
2023-12-15,2025-04-15,,10.0,0.0,C00092
2024-01-20,2025-06-15,10000.0,500.0,0.0,C00093
2024-02-05,2025-05-10,750.0,25.0,0.0,C00094
2024-03-18,2025-06-01,430.0,15.0,0.0,C00095
2024-04-25,2024-11-30,210.0,5.0,1.0,C00096
2024-05-12,2025-12-06,,20.0,0.0,C00097
2024-06-01,2025-05-20,900.0,30.0,0.0,C00098
2024-07-15,2025-06-15,500.0,18.0,0.0,C00099
2024-08-20,2025-05-20,,12.0,0.0,C00100
2024-09-05,2024-12-15,150.0,4.0,1.0,C00101
2024-10-10,2025-10-06,85.0,2.0,0.0,C00102
2024-11-25,2025-01-10,,1.0,1.0,C00103
2024-12-01,2025-06-15,2000.0,80.0,0.0,C00104
2025-01-15,2025-05-15,,100.0,0.0,C00105
2025-02-10,2025-06-10,400.0,15.0,0.0,C00106
2025-03-05,2025-05-06,600.0,22.0,0.0,C00107
2025-04-12,2025-06-01,,5.0,0.0,C00108
2025-05-20,2025-06-20,850.0,30.0,0.0,C00109
