id_cliente,segmento_pyme,volumen_envios_mes,gasto_mensual,fecha_ultimo_despacho,fecha_ultima_entrega,dias_retraso_promedio,target_fuga
C-2186,Pyme-C,137,4330.32,2026-01-29,2026-02-01,1.3,0
C-2187,Pyme-C,49,3084.6,2026-01-22,2026-01-24,0.5,0
C-2188,Pyme-A,231,1134.4,2026-01-25,2026-01-29,2.0,0
C-2189,Pyme-C,65,2441.61,2026-01-29,2026-01-31,1.4,0
C-2190,Pyme-A,123,3745.73,2026-01-12,2026-01-14,0.6,0
C-2191,Pyme-A,102,2765.32,2026-01-26,2026-01-28,1.1,0
C-2192,Pyme-A,84,1092.18,2026-01-20,2026-01-17,-2.0,0
C-2193,Pyme-B,189,1329.54,2026-01-09,2026-01-11,0.9,0
C-2194,Pyme-B,210,834.77,2026-01-29,2026-02-01,1.6,0
C-2195,Pyme-C,179,99999.0,2026-01-12,,,0
C-2196,Pyme-C,6,209.73,2026-01-09,2026-01-17,6.5,1
C-2197,Pyme-B,90,4497.68,2026-01-04,2026-01-06,1.7,0
C-2198,Pyme-B,186,-119.93,2026-01-01,,,0
C-2199,Pyme-C,141,1815.58,2026-01-22,2026-01-26,1.1,0
C-2200,Pyme-A,195,3557.14,2026-01-29,2026-02-01,1.7,0
C-2201,Pyme-A,195,3767.15,2026-01-07,2026-01-10,0.4,0
C-2202,Pyme-B,213,3595.64,2026-01-22,2026-01-24,1.5,0
C-2203,Pyme-C,64,4142.59,2026-01-10,2026-01-13,1.3,0
C-2204,Pyme-A,188,2149.99,2026-01-30,2026-01-28,-3.0,0
C-2205,Pyme-C,146,1449.87,2026-01-18,2026-01-20,0.3,0
C-2206,Pyme-C,168,4179.9,2026-01-09,2026-01-12,1.7,0
C-2207,Pyme-B,231,4020.47,2026-01-15,2026-01-17,1.6,0
C-2208,Pyme-A,233,4376.05,2026-01-24,2026-01-28,1.7,0
C-2209,Pyme-B,245,2862.06,2026-01-13,2026-01-14,0.2,0
C-2210,Pyme-B,177,99999.0,2026-01-24,,,0
C-2211,Pyme-C,107,2962.87,2026-01-31,2026-02-03,1.6,0
C-2212,Pyme-A,212,1665.14,2026-01-29,2026-02-01,0.1,0
C-2213,Pyme-B,196,1619.06,2026-01-27,2026-01-29,0.1,0
C-2214,Pyme-C,117,3202.19,2026-01-02,2026-01-03,0.2,0
C-2215,Pyme-B,166,1229.65,2026-01-18,2026-01-19,0.5,0
C-2216,Pyme-B,156,2172.74,2026-01-23,2026-01-20,-4.0,0
C-2217,Pyme-C,230,3488.42,2026-01-21,2026-01-23,1.8,0
C-2218,Pyme-B,197,2310.03,2026-01-02,2026-01-06,1.9,0
C-2219,Pyme-B,95,2440.52,2026-01-28,2026-01-31,1.9,0
C-2220,Pyme-A,215,-114.48,2026-01-02,,,0
C-2221,Pyme-B,110,1502.29,2026-01-28,2026-01-30,0.2,0
C-2222,Pyme-A,209,1584.79,2026-01-01,2026-01-03,1.3,0
C-2223,Pyme-B,102,4458.64,2026-01-07,2026-01-09,1.6,0
C-2224,Pyme-C,5,196.6,2026-01-08,2026-01-18,8.9,1
C-2225,Pyme-A,241,99999.0,2026-01-28,,,0
C-2226,Pyme-A,73,2798.8,2026-01-04,2026-01-08,1.6,0
C-2227,Pyme-A,73,854.98,2026-01-08,2026-01-12,1.6,0
C-2228,Pyme-B,44,1444.71,2026-01-24,2026-01-22,-1.0,0
C-2229,Pyme-C,56,2562.11,2026-01-17,2026-01-21,1.6,0
C-2230,Pyme-A,155,2664.2,2026-01-02,2026-01-06,1.9,0
C-2231,Pyme-C,173,1916.03,2026-01-01,2026-01-03,1.3,0
C-2232,Pyme-B,142,2377.21,2026-01-23,2026-01-25,0.2,0
C-2233,Pyme-A,60,1991.81,2026-01-05,2026-01-07,0.3,0
C-2234,Pyme-C,202,2965.85,2026-01-13,2026-01-17,1.4,0
C-2235,Pyme-C,115,2478.75,2026-01-04,2026-01-08,1.2,0
C-2236,Pyme-A,207,3208.39,2026-01-24,2026-01-26,1.5,0
C-2237,Pyme-B,155,4085.94,2026-01-27,2026-01-29,0.8,0
C-2238,Pyme-B,146,3499.57,2026-01-11,2026-01-14,0.6,0
C-2239,Pyme-B,135,4328.29,2026-01-16,2026-01-18,1.4,0
C-2240,Pyme-A,61,99999.0,2026-01-24,2026-01-22,-2.0,0
C-2241,Pyme-C,55,2969.92,2026-01-11,2026-01-15,1.1,0
C-2242,Pyme-A,145,-125.03,2026-01-28,,,0
C-2243,Pyme-C,53,4383.07,2026-01-12,2026-01-14,1.2,0
C-2244,Pyme-C,169,1587.13,2026-01-08,2026-01-10,1.3,0
C-2245,Pyme-B,182,2159.98,2026-01-19,2026-01-21,1.5,0
C-2246,Pyme-B,183,4405.82,2026-01-20,2026-01-24,1.6,0
C-2247,Pyme-C,182,897.14,2026-01-27,2026-01-31,1.9,0
C-2248,Pyme-B,47,1467.54,2026-01-10,2026-01-13,1.4,0
C-2249,Pyme-B,41,1471.2,2026-01-22,2026-01-24,0.3,0
C-2250,Pyme-A,76,3541.59,2026-01-03,2026-01-07,1.9,0
C-2251,Pyme-C,95,2191.92,2026-01-06,2026-01-08,0.9,0
C-2252,Pyme-B,13,131.1,2026-01-20,2026-01-19,-1.0,1
C-2253,Pyme-A,80,3591.41,2026-01-03,2026-01-05,0.1,0
C-2254,Pyme-B,209,2368.85,2026-01-14,2026-01-17,1.2,0
C-2255,Pyme-A,233,99999.0,2026-01-04,,,0
C-2256,Pyme-B,213,3310.4,2026-01-22,2026-01-24,1.0,0
C-2257,Pyme-A,96,2262.47,2026-01-01,2026-01-03,1.2,0
C-2258,Pyme-B,94,3639.19,2026-01-10,2026-01-13,1.5,0
C-2259,Pyme-A,41,2640.33,2026-01-05,2026-01-07,0.9,0
C-2260,Pyme-C,220,1651.41,2026-01-22,2026-01-25,1.1,0
C-2261,Pyme-A,141,3988.53,2026-01-01,2026-01-03,0.1,0
C-2262,Pyme-A,120,2930.31,2026-01-23,2026-01-27,1.1,0
C-2263,Pyme-B,114,1226.14,2026-01-11,2026-01-12,0.0,0
C-2264,Pyme-C,157,-58.81,2026-01-28,2026-01-27,-2.0,0
C-2265,Pyme-B,190,2281.66,2026-01-28,2026-01-30,0.2,0
C-2266,Pyme-C,126,1619.82,2026-01-03,2026-01-07,1.6,0
C-2267,Pyme-C,69,2763.24,2026-01-25,2026-01-27,0.4,0
C-2268,Pyme-B,226,4345.43,2026-01-05,2026-01-07,1.3,0
C-2269,Pyme-A,77,1747.08,2026-01-05,2026-01-08,0.3,0
C-2270,Pyme-A,85,99999.0,2026-01-15,,,0
C-2271,Pyme-C,234,2944.03,2026-01-29,2026-02-02,1.4,0
C-2272,Pyme-C,202,4450.17,2026-01-21,2026-01-23,0.6,0
C-2273,Pyme-A,152,1052.66,2026-01-10,2026-01-12,0.9,0
C-2274,Pyme-C,54,2102.19,2026-01-15,2026-01-17,0.1,0
C-2275,Pyme-A,54,2164.33,2026-01-21,2026-01-22,0.6,0
C-2276,Pyme-C,192,2676.15,2026-01-18,2026-01-15,-1.0,0
C-2277,Pyme-B,247,2915.13,2026-01-20,2026-01-22,0.4,0
C-2278,Pyme-C,78,4343.57,2026-01-26,2026-01-28,0.9,0
C-2279,Pyme-C,61,2666.83,2026-01-08,2026-01-11,0.3,0
C-2280,Pyme-B,9,181.02,2026-01-12,2026-01-21,7.7,1
C-2281,Pyme-B,139,2312.45,2026-01-20,2026-01-21,0.7,0
C-2282,Pyme-C,205,2038.2,2026-01-18,2026-01-21,0.7,0
C-2283,Pyme-B,112,1732.38,2026-01-31,2026-02-04,1.7,0
C-2284,Pyme-A,125,1101.56,2026-01-30,2026-02-02,1.3,0
C-2285,Pyme-B,207,99999.0,2026-01-20,,,0
C-2286,Pyme-C,61,-129.17,2026-01-27,,,0
C-2287,Pyme-A,211,3400.47,2026-01-22,2026-01-26,1.9,0
C-2288,Pyme-A,205,3280.69,2026-01-01,2025-12-30,-3.0,0
C-2289,Pyme-A,94,2064.41,2026-01-07,2026-01-09,1.5,0
C-2290,Pyme-A,79,1085.51,2026-01-04,2026-01-08,1.7,0
C-2291,Pyme-C,229,4069.62,2026-01-11,2026-01-14,0.1,0
C-2292,Pyme-A,192,2193.86,2026-01-27,2026-01-30,0.3,0
C-2293,Pyme-C,247,4139.83,2026-01-02,2026-01-05,1.4,0
C-2294,Pyme-B,213,3462.47,2026-01-20,2026-01-23,1.9,0
C-2295,Pyme-C,240,2461.03,2026-01-10,2026-01-13,1.1,0
C-2296,Pyme-A,134,3309.74,2026-01-15,2026-01-18,1.1,0
C-2297,Pyme-B,239,2212.93,2026-01-31,2026-02-02,1.1,0
C-2298,Pyme-A,245,3037.25,2026-01-02,2026-01-06,1.7,0
C-2299,Pyme-B,135,2851.8,2026-01-28,2026-01-31,0.2,0
C-2300,Pyme-A,112,99999.0,2026-01-15,2026-01-12,-2.0,0
C-2301,Pyme-B,63,4301.73,2026-01-15,2026-01-17,0.4,0
C-2302,Pyme-A,146,997.05,2026-01-08,2026-01-11,1.0,0
C-2303,Pyme-A,135,1630.79,2026-01-04,2026-01-07,0.6,0
C-2304,Pyme-C,125,3728.11,2026-01-10,2026-01-12,0.3,0
C-2305,Pyme-C,75,3607.71,2026-01-20,2026-01-21,0.9,0
C-2306,Pyme-A,44,1746.92,2026-01-18,2026-01-22,1.7,0
C-2307,Pyme-C,175,2366.04,2026-01-08,2026-01-11,1.6,0
C-2308,Pyme-A,2,-112.28,2026-01-03,,,1
C-2309,Pyme-A,167,3007.93,2026-01-17,2026-01-20,0.0,0
C-2310,Pyme-A,223,1331.23,2026-01-20,2026-01-22,0.9,0
C-2311,Pyme-A,186,2341.3,2026-01-03,2026-01-07,1.3,0
C-2312,Pyme-B,57,4327.59,2026-01-26,2026-01-23,-1.0,0
C-2313,Pyme-B,160,961.08,2026-01-12,2026-01-14,0.8,0
C-2314,Pyme-C,44,2121.25,2026-01-08,2026-01-11,0.1,0
C-2315,Pyme-C,200,99999.0,2026-01-25,,,0
C-2316,Pyme-B,74,964.04,2026-01-27,2026-01-31,1.1,0
C-2317,Pyme-A,239,3333.33,2026-01-16,2026-01-20,2.0,0
C-2318,Pyme-A,247,1298.95,2026-01-31,2026-02-03,1.4,0
C-2319,Pyme-A,115,1545.89,2026-01-29,2026-01-31,1.6,0
C-2320,Pyme-B,119,2706.92,2026-01-18,2026-01-21,2.0,0
C-2321,Pyme-B,49,3587.18,2026-01-12,2026-01-13,0.4,0
C-2322,Pyme-C,124,1810.9,2026-01-14,2026-01-17,1.6,0
C-2323,Pyme-C,152,4110.16,2026-01-06,2026-01-08,0.8,0
C-2324,Pyme-C,167,2159.18,2026-01-09,2026-01-08,-4.0,0
C-2325,Pyme-A,150,3029.08,2026-01-18,2026-01-21,1.6,0
C-2326,Pyme-B,66,1096.25,2026-01-10,2026-01-13,1.3,0
C-2327,Pyme-C,223,2376.63,2026-01-12,2026-01-15,1.4,0
C-2328,Pyme-A,226,4019.14,2026-01-14,2026-01-16,0.7,0
C-2329,Pyme-C,242,4307.25,2026-01-21,2026-01-23,0.2,0
C-2330,Pyme-B,171,99999.0,2026-01-31,,,0
C-2331,Pyme-A,76,3940.08,2026-01-15,2026-01-17,1.4,0
C-2332,Pyme-A,57,1673.18,2026-01-12,2026-01-15,1.3,0
C-2333,Pyme-C,48,3038.85,2026-01-31,2026-02-03,1.4,0
C-2334,Pyme-B,153,3623.41,2026-01-17,2026-01-20,1.1,0
C-2335,Pyme-B,120,3203.37,2026-01-04,2026-01-05,0.5,0
C-2336,Pyme-C,4,174.76,2026-01-18,2026-01-17,-3.0,1
C-2337,Pyme-B,220,2451.21,2026-01-10,2026-01-14,2.0,0
C-2338,Pyme-B,91,1253.76,2026-01-15,2026-01-17,1.7,0
C-2339,Pyme-C,153,4489.87,2026-01-31,2026-02-03,1.6,0
C-2340,Pyme-C,128,3425.3,2026-01-10,2026-01-13,1.1,0
C-2341,Pyme-A,222,3425.39,2026-01-06,2026-01-09,1.4,0
C-2342,Pyme-C,97,1249.04,2026-01-05,2026-01-06,0.4,0
C-2343,Pyme-B,46,2135.32,2026-01-15,2026-01-19,1.1,0
C-2344,Pyme-A,196,4071.71,2026-01-13,2026-01-16,0.1,0
C-2345,Pyme-C,162,99999.0,2026-01-27,,,0
C-2346,Pyme-C,58,1263.71,2026-01-03,2026-01-05,0.6,0
C-2347,Pyme-B,214,2714.23,2026-01-27,2026-01-30,0.3,0
C-2348,Pyme-C,190,1473.26,2026-01-14,2026-01-11,-1.0,0
C-2349,Pyme-A,172,1366.16,2026-01-11,2026-01-14,0.3,0
C-2350,Pyme-A,128,4305.69,2026-01-10,2026-01-12,1.0,0
C-2351,Pyme-B,90,3149.71,2026-01-05,2026-01-09,1.1,0
C-2352,Pyme-B,197,-66.86,2026-01-31,,,0
C-2353,Pyme-C,79,1433.44,2026-01-29,2026-02-02,1.2,0
C-2354,Pyme-B,184,952.42,2026-01-03,2026-01-05,1.7,0
C-2355,Pyme-C,237,2934.05,2026-01-25,2026-01-29,1.3,0
C-2356,Pyme-B,198,3164.27,2026-01-21,2026-01-24,1.0,0
C-2357,Pyme-B,204,4339.61,2026-01-26,2026-01-29,1.0,0
C-2358,Pyme-B,116,2478.11,2026-01-06,2026-01-09,1.4,0
C-2359,Pyme-B,163,2518.44,2026-01-05,2026-01-07,0.7,0
C-2360,Pyme-C,121,99999.0,2026-01-13,2026-01-12,-3.0,0
C-2361,Pyme-C,183,1192.88,2026-01-04,2026-01-06,0.5,0
C-2362,Pyme-B,103,1321.25,2026-01-31,2026-02-02,0.1,0
